Corporate shift (14:00 - 22:00) arrival times,answer times,completion times
893.5547648057941,1096.549931, 1101.2375380029437
893.9911685087782,1101.237538, 1107.1283296843444
896.0340098638102,1107.12833, 1109.698262166345
896.6315280608072,1109.698262, 1112.8957965428863
896.9807632518593,1112.895797, 1117.0950508582653
897.6175805207884,1117.095051, 1121.2960724769332
898.1474853097808,1121.296072, 1125.6675229825232
900.4835125318308,1125.667523, 1128.6601437069608
900.9463665158015,1128.660144, 1132.0857321120036
901.8033340693877,1132.085732, 1136.6213292241255
902.4751118515239,1136.621329, 1139.4348732099465
903.746603605493,1139.434873, 1141.2671457446913
904.0942096813486,1141.267146, 1148.3696613076897
904.8653679230898,1148.369661, 1152.6185013293004
905.3850606121517,1152.618501, 1157.677124839492
907.4614535501923,1157.677125, 1160.7177374618352
908.1325087627223,1160.717737, 1163.3578038826067
909.6240191977191,1163.357804, 1168.6981394490492
913.6699690843152,1168.698139, 1172.9146170281106
914.1550339673057,1172.914617, 1175.9903466028206
915.0718383133595,1175.990347, 1178.71824104874
916.4571378455272,1178.718241, 1181.870299057558
917.9550365691973,1181.870299, 1184.1614284046461
919.5476481196256,1184.161428, 1187.8526478344618
919.6075090870135,1187.852648, 1192.518402121417
920.2166794842511,1192.518402, 1193.268402121417
922.1637852712203,1193.268402, 1195.3551573318464
922.243834864715,1195.355157, 1197.5871127691628
923.2625831972481,1197.587113, 1201.3749856550385
923.8300066810057,1201.374986, 1204.2344378415114
923.8816597058166,1204.234438, 1205.505506842511
924.9782322471959,1205.505507, 1206.255506842511
925.1502352462473,1206.255507, 1210.59796898132
925.7600742662378,1210.597969, 1215.5400472150354
927.7904661561988,1215.540047, 1217.3701374778798
929.4886145412366,1217.370137, 1220.5566861439772
930.9981894089879,1220.556686, 1223.9302588881824
932.7924184094608,1223.930259, 1229.8990520465659
932.8404248275832,1229.899052, 1233.1501256396175
933.2764309873062,1233.150126, 1237.353148757607
933.9220896322321,1237.353149, 1238.997600564945
934.0366388264476,1238.997601, 1242.8636209072956
934.8986679486367,1242.863621, 1247.6813129490108
935.58210493017,1247.681313, 1251.3508747423891
936.9288787536166,1251.350875, 1256.7237505134653
938.3678542220416,1256.723751, 1261.0258313152294
941.1222566778798,1261.025831, 1265.487082288217
941.6500600183487,1265.487082, 1268.47202596052
942.7404263211735,1268.472026, 1271.4937246648415
943.5197382887824,1271.493725, 1274.9650541910246
943.621178549236,1274.965054, 1279.1704936184271
943.8784177697775,1279.170494, 1283.3654353463178
943.884984210391,1283.365435, 1287.1022798410536
945.6309767439552,1287.10228, 1290.5500452197066
946.1690685985093,1290.550045, 1292.7437841736505
948.8630022914754,1292.743784, 1295.5788740473022
949.0669737493421,1295.578874, 1299.4144830037044
949.2443243750818,1299.414483, 1302.1409743385682
949.487911161513,1302.140974, 1306.3731396592266
949.8595911944533,1306.37314, 1308.5218799090394
950.933561072113,1308.52188, 1310.4160932936827
952.2919774777913,1310.416093, 1313.4933136992129
953.667262860124,1313.493314, 1316.6260469095762
