Start of shift (14:00 - 22:00),Column1,_1
879.2643116018091,884.0444423, 885.5755962443257
878.4094519191568,883.5681232, 886.0229271921152
879.86724236077,884.4743158, 886.1929838021774
880.0076099255035,885.3414391, 886.5845189712882
880.3711869097885,885.5236257, 886.880814534488
881.8505194800505,886.0229272, 886.9801364937207
881.0229900737178,885.5755962, 886.9835693617615
882.8328503721536,886.584519, 887.2691850685684
881.86460343061,886.1929838, 887.4997449412925
883.1452656879328,886.9801365, 888.1272665614872
883.0961945657451,886.8808145, 888.1875548163555
883.6254261503765,888.1272666, 888.5883862711089
883.5709706651046,887.2691851, 888.8137195177015
883.2454454496066,886.9835694, 888.8878111512948
884.1618659319639,888.5883863, 889.1344654830499
883.6094321219597,887.4997449, 889.1759453003607
884.3135703203529,888.8878112, 889.3044778179615
883.6559115090749,888.1875548, 889.6152393934693
884.2741605898068,888.8137195, 889.8482216409183
886.2187352541878,889.6152394, 890.031906060136
884.4401536990933,889.1344655, 890.2638607431983
885.1557100120177,889.1759453, 890.986873372497
886.7852990341283,889.8482216, 891.0233662213267
886.9429431167449,890.2638607, 891.181684698465
885.5197110067205,889.3044778, 891.2947922747611
887.0335814132874,890.9868734, 891.5817818469025
887.9271478504513,891.0233662, 892.1696250951373
888.748022823136,891.1816847, 892.1764971515668
888.95749943959,891.2947923, 892.4958171441504
886.8064384681728,890.0319061, 892.8145708856008
889.4008342919308,891.5817818, 892.8647999177336
892.0978954652395,892.8145709, 893.2312375522674
891.4366557533017,892.1764972, 893.3033609840408
891.0149940661565,892.1696251, 893.4335375797222
891.8618991961446,892.4958171, 893.9275342426374
892.5679267652304,892.8647999, 894.3082417525064
893.1033544172229,893.303361, 894.3924699797348
893.3830887501648,893.9275342, 894.6282683018892
893.2789690127014,893.4335376, 894.7468151446838
892.7017727154899,893.2312376, 895.2413292657558
895.0454473794098,895.0454474, 895.6114022463921
894.3790353163981,894.3790353, 895.8773592263633
896.1531345952822,896.1531346, 896.8261909455182
895.9759424262642,895.9759424, 896.9727143278566
896.3787390513302,896.3787391, 897.0521673114015
895.9923938841513,895.9923939, 897.6573982256461
895.9368853532728,895.9368854, 897.9342816566751
898.2053636030665,898.2053636, 898.6220302697332
897.7084848035902,897.7084848, 898.8516984410804
898.2006421762907,898.2006422, 899.2863825237894
898.6499606719914,898.6499607, 899.6320328418847
899.0723509008146,899.0723509, 899.6872110199007
900.3746837772624,900.3746838, 901.2451444079686
900.53826168447,900.5382617, 901.5427195382856
900.4679114126376,900.4679114, 901.5941350427363
900.7263563217833,900.7263563, 902.0276555832935
901.2597350521431,901.2597351, 902.2075575480096
901.8753795609034,901.8753796, 902.29204622757
900.6182444154118,900.6182444, 902.6023436490663
902.0199886528684,902.0199887, 903.4395574859673
902.9477431080087,902.9477431, 904.3813511295893
903.7803574324741,903.7803574, 905.149580771026
902.8385965498035,902.8385965, 905.1590527528155
903.5007453336821,903.5007453, 905.3418889715243
904.1513183868212,904.1513184, 905.349021690881
905.3604747609447,905.3604748, 906.2463041616008
905.6293295514859,905.6293296, 907.6239150554003
906.7278948145288,906.7278948, 908.1000414758734
907.4900125309885,907.6239151, 908.1360759120411
907.4197466540669,907.4197467, 908.3140638049325
906.9693312178642,906.9693312, 908.3880257685057
907.4237505867897,907.4237506, 908.684085290718
907.7973668115783,908.1000415, 910.0927131938587
908.9378770804628,908.9378771, 910.3664166466434
908.6675908407602,908.6675908, 910.5071602887976
910.210938417056,910.2109384, 910.6276050837226
910.5565057192163,910.5565057, 911.4961326802954
910.0544327833093,910.0544328, 911.5365694237655
910.8859276216103,910.8859276, 911.8285521264984
910.9006419063787,910.9006419, 912.2720124660138
911.8507393603946,911.8507394, 912.6036469633918
912.4388224381587,912.4388224, 912.9355940364161
911.6714643827224,911.6714644, 913.2151679161148
912.1206489129701,912.1206489, 913.7975162542625
912.7424441077694,912.7424441, 913.939439697483
913.8717828627149,913.8717829, 914.6099440840256
913.527434886795,913.5274349, 914.692097130317
914.1396115387328,914.1396115, 915.0433140393709
914.7825419237116,914.7825419, 915.6087391752562
914.6413653808831,914.6413654, 915.6123286586858
914.7788211924671,914.7788212, 916.0711112108842
915.712418828217,915.7124188, 916.1290854948836
915.7222707403713,915.7222707, 916.2161305368484
914.1468342067741,914.1468342, 916.2645486257687
915.812053065968,915.8120531, 917.1145665798638
916.6403865646478,916.6403866, 917.4682602385266
